# name	exact%	close%	rmse	note
CPUTest/CP1/C/FPUCompare/FPUCompare-c.seq.s	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/C/FPUCompare/FPUCompare-c.sf.s	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/C/FPUCompare/FPUCompare-c.ueq.s	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/C/FPUCompare/FPUCompare-c.ule.s	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/C/FPUCompare/FPUCompare-c.ult.s	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/C/FPUCompare/FPUCompare-c.un.s	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/C/LE/CP1CLE	100.00	100.00	0.00	
CPUTest/CP1/C/LT/CP1CLT	100.00	100.00	0.00	
CPUTest/CP1/C/NGE/CP1CNGE	100.00	100.00	0.00	
CPUTest/CP1/C/NGL/CP1CNGL	100.00	100.00	0.00	
CPUTest/CP1/C/NGLE/CP1CNGLE	100.00	100.00	0.00	
CPUTest/CP1/C/NGT/CP1CNGT	100.00	100.00	0.00	
CPUTest/CP1/C/OLE/CP1COLE	100.00	100.00	0.00	
CPUTest/CP1/C/OLT/CP1COLT	100.00	100.00	0.00	
CPUTest/CP1/C/SEQ/CP1CSEQ	100.00	100.00	0.00	
CPUTest/CP1/C/SF/CP1CSF	100.00	100.00	0.00	
CPUTest/CP1/C/UEQ/CP1CUEQ	100.00	100.00	0.00	
CPUTest/CP1/C/ULE/CP1CULE	100.00	100.00	0.00	
CPUTest/CP1/C/ULT/CP1CULT	100.00	100.00	0.00	
CPUTest/CP1/C/UN/CP1CUN	100.00	100.00	0.00	
CPUTest/CP1/CEIL/CP1CEIL	100.00	100.00	0.00	
CPUTest/CP1/COP1FullMode/COP1FullMode	100.00	100.00	0.00	SIZE 640x240 vs ref 640x480
CPUTest/CP1/CVT/CP1CVT	100.00	100.00	0.00	
CPUTest/CP1/DIV/CP1DIV	100.00	100.00	0.00	
CPUTest/CP1/FLOOR/CP1FLOOR	100.00	100.00	0.00	
CPUTest/CP1/MUL/CP1MUL	100.00	100.00	0.00	
CPUTest/CP1/NEG/CP1NEG	100.00	100.00	0.00	
CPUTest/CP1/ROUND/CP1ROUND	100.00	100.00	0.00	
CPUTest/CP1/SQRT/CP1SQRT	100.00	100.00	0.00	
CPUTest/CP1/SUB/CP1SUB	100.00	100.00	0.00	
CPUTest/CP1/TRUNC/CP1TRUNC	100.00	100.00	0.00	
CPUTest/CPU/ADD/CPUADD	100.00	100.00	0.00	
CPUTest/CPU/ADDU/CPUADDU	100.00	100.00	0.00	
CPUTest/CPU/AND/CPUAND	100.00	100.00	0.00	
CPUTest/CPU/DADD/CPUDADD	100.00	100.00	0.00	
CPUTest/CPU/DADDU/CPUDADDU	100.00	100.00	0.00	
CPUTest/CPU/DDIV/CPUDDIV	100.00	100.00	0.00	
CPUTest/CPU/DDIVU/CPUDDIVU	100.00	100.00	0.00	
CPUTest/CPU/DIV/CPUDIV	100.00	100.00	0.00	
CPUTest/CPU/DIVU/CPUDIVU	100.00	100.00	0.00	
CPUTest/CPU/DMULT/CPUDMULT	100.00	100.00	0.00	
CPUTest/CPU/DMULTU/CPUDMULTU	100.00	100.00	0.00	
CPUTest/CPU/DSUB/CPUDSUB	100.00	100.00	0.00	
CPUTest/CPU/DSUBU/CPUDSUBU	100.00	100.00	0.00	
CPUTest/CPU/LOADSTORE/LB/CPULB	100.00	100.00	0.00	
CPUTest/CPU/LOADSTORE/LD/CPULD	100.00	100.00	0.00	
CPUTest/CPU/LOADSTORE/LH/CPULH	100.00	100.00	0.00	
CPUTest/CPU/LOADSTORE/LL_LLD_SC_SCD/LL_LLD_SC_SCD	99.91	99.91	7.59	SIZE 640x240 vs ref 640x480
CPUTest/CPU/LOADSTORE/LW/CPULW	100.00	100.00	0.00	
CPUTest/CPU/LOADSTORE/SB/CPUSB	98.57	98.57	29.68	
CPUTest/CPU/LOADSTORE/SD/CPUSD	100.00	100.00	0.00	
CPUTest/CPU/LOADSTORE/SH/CPUSH	98.64	98.64	29.12	
CPUTest/CPU/LOADSTORE/SW/CPUSW	100.00	100.00	0.00	
CPUTest/CPU/MULT/CPUMULT	100.00	100.00	0.00	
CPUTest/CPU/MULTU/CPUMULTU	100.00	100.00	0.00	
CPUTest/CPU/NOR/CPUNOR	100.00	100.00	0.00	
CPUTest/CPU/OR/CPUOR	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSLL/CPUDSLL	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSLL32/CPUDSLL32	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSLLV/CPUDSLLV	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSRA/CPUDSRA	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSRA32/CPUDSRA32	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSRAV/CPUDSRAV	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSRL/CPUDSRL	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSRL32/CPUDSRL32	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/DSRLV/CPUDSRLV	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/SLL/CPUSLL	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/SLLV/CPUSLLV	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/SRA/CPUSRA	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/SRAV/CPUSRAV	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/SRL/CPUSRL	100.00	100.00	0.00	
CPUTest/CPU/SHIFT/SRLV/CPUSRLV	100.00	100.00	0.00	
